Date,RunBy,machineID,sample_type,exetainer_ID,Amount_injected,Field_sample_date,notes
"June 23, 2018",KLH,1459,lab air,,,,bad std
"June 23, 2018",KLH,1460,lab air,,,,bad std
"June 23, 2018",KLH,1461,100 ppm std,,,,bad std
"June 23, 2018",KLH,1462,100 ppm std,,15 ml,,
"June 23, 2018",KLH,1463,100 ppm std,,15 ml,,
"June 23, 2018",KLH,1464,100 ppm std,,15 ml,,
"June 23, 2018",KLH,1465,1000 ppm std,,15 ml,,
"June 23, 2018",KLH,1466,1000 ppm std,,15 ml,,
"June 23, 2018",KLH,1467,1000 ppm std,,15 ml,,
"June 23, 2018",KLH,1468,4000 ppm std,,,,
"June 23, 2018",KLH,1469,4000 ppm std,,,,
"June 23, 2018",KLH,1470,4000 ppm std,,,,
"June 23, 2018",KLH,1471,5000 ppm CO2 std,,,,
"June 23, 2018",KLH,1472,5000 ppm CO2 std,,,,
"June 23, 2018",KLH,1473,5000 ppm CO2 std,,,,
"June 23, 2018",KLH,1474,1000 ppm CO2 std,,,,
"June 23, 2018",KLH,1475,1000 ppm CO2 std,,,,
"June 23, 2018",KLH,1476,1000 ppm CO2 std,,,,
"June 23, 2018",KLH,1477,,KLH 1291,5.5 ml,,
"June 23, 2018",KLH,1478,,KLH 1299,8 ml,,
"June 23, 2018",KLH,1479,,KLH 1292,4.2 ml,,
"June 23, 2018",KLH,1480,,KLH 1232,8 ml,,
"June 23, 2018",KLH,1481,,KLH 1231,5 ml,,
"June 23, 2018",KLH,1482,,KLH 1293,8 ml,,
"June 23, 2018",KLH,1483,,KLH 1212,4.2 ml,,
"June 23, 2018",KLH,1484,,KLH 1059,8 ml,,
"June 23, 2018",KLH,1485,,KLH 1209,5 ml,,
"June 23, 2018",KLH,1486,,KLH 1056,8 ml,,
"June 23, 2018",KLH,1487,,KLH 1094,8 ml,,
"June 23, 2018",KLH,1488,,KLH 1226,6 ml,,
"June 23, 2018",KLH,1489,,KLH 1052,8 ml,,
"June 23, 2018",KLH,1490,,KLH 1058,5.5 ml,,
"June 23, 2018",KLH,1491,,KLH 1296,8 ml,,
"June 23, 2018",KLH,1492,,KLH 1062,5.2 ml,,
"June 23, 2018",KLH,1493,,KLH 1065,8 ml,,
"June 23, 2018",KLH,1494,,KLH 1067,8 ml,,
"June 23, 2018",KLH,1495,,KLH 1077,8 ml,,
"June 23, 2018",KLH,1496,,KLH 1092,8 ml,,
